,rank_ic
2023-06-12,0.06058458350641661
2023-06-13,0.021233602170802546
2023-06-14,0.013481446827383668
2023-06-15,-0.010378961663677536
2023-06-16,0.0906104968090524
2023-06-19,0.1265550006582724
2023-06-20,0.14706106507308908
2023-06-21,0.12454571605673807
2023-06-26,0.06873490777507436
2023-06-27,0.06503049341927096
2023-06-28,0.04894805827871959
2023-06-29,0.0601938481938482
2023-06-30,0.054656142656142666
2023-07-03,0.09624298446743336
2023-07-04,0.12021312294258184
2023-07-05,0.1482774076681892
2023-07-06,0.029189851173819108
2023-07-07,-0.03622434022434023
2023-07-10,-0.006411294411294411
2023-07-11,0.027453747453747453
2023-07-12,0.09571625971625972
2023-07-13,0.26333787813216075
2023-07-14,0.30032672432672436
2023-07-17,0.23337505737505737
2023-07-18,0.24913761313761315
2023-07-19,0.1881013281013281
2023-07-20,0.16878352500797386
2023-07-21,0.09711644511644511
2023-07-24,0.10790493590493593
2023-07-25,-0.01885003885003885
2023-07-26,-0.036182712182712184
2023-07-27,-0.09000735000735001
2023-07-28,-0.0828923148923149
2023-07-31,-0.042883926883926886
2023-08-01,0.0149008709008709
2023-08-02,-0.00044930444930444937
2023-08-03,0.17131397131397133
2023-08-04,0.1810794490794491
2023-08-07,0.15900848700848702
2023-08-08,0.0775922815922816
2023-08-09,0.05141811941811942
2023-08-10,0.03357586557586558
2023-08-11,-0.0019194979194979193
2023-08-14,-0.045073905073905074
2023-08-15,0.006305658305658306
2023-08-16,0.013332445332445332
2023-08-17,-0.047882495882495886
2023-08-18,-0.1812776292776293
2023-08-21,-0.07061443061443062
2023-08-22,0.09922353922353921
2023-08-23,0.1582948102948103
2023-08-24,0.15258663258663258
2023-08-25,0.1712052272052272
2023-08-28,0.18423334023334026
2023-08-29,0.13179117579117583
2023-08-30,0.04841430041430042
2023-08-31,0.10889418089418092
2023-09-01,0.16906620106620107
2023-09-04,0.16092401292401295
2023-09-05,0.01677052077052077
2023-09-06,-0.013127593127593129
2023-09-07,-0.02796506796506797
2023-09-08,0.011557595557595559
2023-09-11,-0.11471527871527872
2023-09-12,-0.08114714114714115
2023-09-13,-0.06349885356298181
2023-09-14,0.02943265152094948
2023-09-15,-0.10538734538734539
2023-09-18,0.029490029490029494
2023-09-19,0.10436589236589237
2023-09-20,0.16818037275752704
2023-09-21,0.107990795990796
2023-09-22,0.05732718932718933
2023-09-25,0.037430713430713435
2023-09-26,0.02063504063504064
2023-09-27,-0.024098568098568102
2023-09-28,-0.08827210027210028
2023-10-09,-0.0818886098886099
2023-10-10,-0.15232785089698916
2023-10-11,-0.15563854763854768
2023-10-12,-0.048496968496968496
2023-10-13,-0.06097152097152098
2023-10-16,-0.0707962667962668
2023-10-17,-0.007833625208374707
2023-10-18,-0.03988571188571189
2023-10-19,0.02209167409167409
2023-10-20,0.09761461662062862
2023-10-23,0.08790591990591991
2023-10-24,0.0975004095004095
2023-10-25,0.1136213207195171
2023-10-26,0.1223820743820744
2023-10-27,0.12713566626809364
2023-10-30,0.058780942780942785
2023-10-31,-0.04792036792036792
2023-11-01,-0.06902977125422015
2023-11-02,-0.13463057063057063
2023-11-03,-0.10149332900034301
2023-11-06,-0.0018003018003018006
2023-11-07,0.042977862977862984
2023-11-08,0.0538972378972379
2023-11-09,0.0823997023997024
2023-11-10,0.13757782157782159
2023-11-13,0.21292450492450496
2023-11-14,0.16455141255141256
2023-11-15,0.22161265761265764
2023-11-16,0.1414092814092814
2023-11-17,0.1287892167892168
2023-11-20,0.08295249495249496
2023-11-21,0.07240078840078841
2023-11-22,0.03724784102740014
2023-11-23,0.07028612179313581
2023-11-24,0.019176786062144666
2023-11-27,-0.03856014732167036
2023-11-28,-0.02210700900960055
2023-11-29,-0.028422011816166562
2023-11-30,-0.006140823428357372
2023-12-01,-0.07233280359472563
2023-12-04,-0.10725124635794521
2023-12-05,-0.15231940382341486
2023-12-06,-0.06791017958140787
2023-12-07,-0.021203307515932763
2023-12-08,0.09484885234579206
2023-12-11,0.0960394412030667
2023-12-12,0.19139815968272877
2023-12-13,0.13424861024861026
2023-12-14,0.09098311898311899
2023-12-15,0.1503611437923392
2023-12-18,0.12094198426944162
2023-12-19,0.07328961827559019
2023-12-20,0.08961209361209362
2023-12-21,0.09399857799857801
