,rank_ic
2023-04-07,-0.04739215836659362
2023-04-10,-0.09633745157551044
2023-04-11,-0.100183843640667
2023-04-12,-0.09231819623113746
2023-04-13,-0.14269042782840688
2023-04-14,-0.18092428285653736
2023-04-17,-0.15031191512153433
2023-04-18,-0.05782069046210167
2023-04-19,0.04329652917299625
2023-04-20,0.052089329305748104
2023-04-21,0.05772507540246626
2023-04-24,0.06547759747759749
2023-04-25,0.04931488201628482
2023-04-26,-0.00771543449432248
2023-04-27,0.021056626673123656
2023-04-28,-0.04431000779062839
2023-05-04,-0.004066174390823689
2023-05-05,-0.0019147724879187804
2023-05-08,0.16064637643766466
2023-05-09,0.16020563450629197
2023-05-10,0.12611280434188035
2023-05-11,0.027351796686466024
2023-05-12,0.0389804955255857
2023-05-15,-0.04540100019859539
2023-05-16,-0.12004714534173451
2023-05-17,-0.11950668905378323
2023-05-18,-0.03709548307068322
2023-05-19,-0.05021359552488008
2023-05-22,0.012424275057867216
2023-05-23,0.014691822082603645
2023-05-24,-0.05867670476087309
2023-05-25,-0.09876482093315758
2023-05-26,-0.1372213014617824
2023-05-29,-0.14787153887354285
2023-05-30,-0.17434400126966804
2023-05-31,-0.1426007789205599
2023-06-01,-0.2032521765045991
2023-06-02,-0.22138655943276217
2023-06-05,-0.11639466047658877
2023-06-06,-0.039433175524817184
2023-06-07,0.10216604857186913
2023-06-08,0.15396120770068664
2023-06-09,0.09143254807904065
2023-06-12,0.024999437552583385
2023-06-13,-0.016205440480268972
2023-06-14,0.0026724546723687495
2023-06-15,-0.029374087586801878
2023-06-16,0.08121871738573547
2023-06-19,0.12329515341356474
2023-06-20,0.13548521667960545
2023-06-21,0.14466482514578705
2023-06-26,0.0578546498450499
2023-06-27,0.05693477044178446
2023-06-28,0.05173425529738154
2023-06-29,0.05431765831765832
2023-06-30,0.02051690051690052
2023-07-03,0.0888483995017061
2023-07-04,0.1784362478711176
2023-07-05,0.18437535732124907
2023-07-06,0.040224521114300665
2023-07-07,-0.002468078468078468
2023-07-10,0.03396897396897397
2023-07-11,-0.01852690252690253
2023-07-12,0.05310467310467311
2023-07-13,0.22478894433636415
2023-07-14,0.2563645723645724
2023-07-17,0.13632894432894435
2023-07-18,0.17586352386352389
2023-07-19,0.17660831660831663
2023-07-20,0.16890963909801585
2023-07-21,0.10774537174537176
2023-07-24,0.14519239319239322
2023-07-25,-0.006851574851574852
2023-07-26,-0.06119164919164919
2023-07-27,-0.1593625593625594
2023-07-28,-0.14940829740829742
2023-07-31,-0.15516718716718716
2023-08-01,-0.0847893607893608
2023-08-02,-0.04308720708720709
2023-08-03,0.13124783924783925
2023-08-04,0.24706075906075908
2023-08-07,0.25847229047229053
2023-08-08,0.21919712719712722
2023-08-09,0.13611846411846412
2023-08-10,0.16334721134721134
2023-08-11,0.15481696681696683
2023-08-14,0.10865808065808066
2023-08-15,0.06810060810060811
2023-08-16,0.024282228282228285
2023-08-17,0.020851244851244854
2023-08-18,-0.0668996588996589
2023-08-21,-0.028005280005280003
2023-08-22,0.02497158097158097
2023-08-23,0.11212072012072014
2023-08-24,0.06506503706503707
2023-08-25,0.1037935397935398
2023-08-28,0.12565955365955367
2023-08-29,0.13411838611838614
2023-08-30,0.08818000018000019
2023-08-31,0.1300760140760141
2023-09-01,0.13933024333024335
2023-09-04,0.13121140721140723
2023-09-05,0.05750572550572551
2023-09-06,0.041479793479793484
2023-09-07,0.02131854931854932
2023-09-08,0.046080838080838085
2023-09-11,0.028085476085476086
2023-09-12,0.04017804417804419
2023-09-13,-0.030872363345309232
2023-09-14,-0.012980796980796981
2023-09-15,-0.10632793032793034
2023-09-18,-0.013745065745065746
2023-09-19,0.020071844071844074
2023-09-20,0.0878778337455692
2023-09-21,0.12544955344955347
2023-09-22,0.043364863364863365
2023-09-25,0.022805566805566807
2023-09-26,0.048572556572556574
2023-09-27,0.04273752673752674
2023-09-28,0.03316995316995318
2023-10-09,0.06965314565314566
2023-10-10,0.01010016429254906
2023-10-11,-0.03023007023007023
2023-10-12,-0.004775428775428776
2023-10-13,-0.04334513534513535
2023-10-16,-0.09262626862626863
2023-10-17,-0.1143820617643156
2023-10-18,-0.06451254451254451
2023-10-19,0.027502191502191502
2023-10-20,0.06253140515264763
2023-10-23,0.060590196590196606
2023-10-24,0.06347840747840748
2023-10-25,0.08150671312595159
2023-10-26,0.0870946470946471
2023-10-27,0.112163658825689
2023-10-30,0.0416037176037176
2023-10-31,-0.10946726546726547
2023-11-01,-0.20061737890194803
2023-11-02,-0.22974763374763377
2023-11-03,-0.164114776098744
2023-11-06,-0.05073602673602674
2023-11-07,-0.0004665364665364666
2023-11-08,0.08634919434919436
2023-11-09,0.09625412425412426
2023-11-10,0.17274791274791276
2023-11-13,0.2224819504819505
2023-11-14,0.18874076074076074
2023-11-15,0.19685545685545688
2023-11-16,0.11228684828684829
2023-11-17,0.11613507213507214
2023-11-20,0.131014067014067
2023-11-21,0.1431080511080511
2023-11-22,0.11741481762323444
